# Simulates the NEXT Fivetran sync batch (e.g. one week later) with two real-world changes:
#   - EMP-0004 (Daniel Kim) promoted Software Engineer II -> Senior Software Engineer, comp band E3 -> E4
#   - EMP-0007 (Emma Rossi) transferred from Sales (DEPT-200) to Customer Success (DEPT-500)
# Load this file OVER the same RAW.WORKDAY_WORKERS table (full re-sync) and re-run `dbt snapshot`
# to see dim_employee's SCD2 history capture both the old and new state. See README "Simulate SCD2".
EMPLOYEE_ID,FIRST_NAME,LAST_NAME,HIRE_DATE,TERMINATION_DATE,WORKER_STATUS,POSITION_ID,DEPARTMENT_ID,MANAGER_EMPLOYEE_ID,LOCATION_ID,COMPENSATION_BAND,LAST_MODIFIED,_FIVETRAN_SYNCED
EMP-0001,Priya,Nair,2019-03-04,,Active,POS-1010,DEPT-100,,LOC-01,E5,2026-08-01 03:00:00,2026-08-08 03:00:00
EMP-0002,Marcus,Lee,2020-01-13,,Active,POS-1003,DEPT-100,EMP-0001,LOC-01,M3,2026-08-01 03:00:00,2026-08-08 03:00:00
EMP-0003,Sofia,Garcia,2020-06-22,,Active,POS-1002,DEPT-100,EMP-0002,LOC-02,E4,2026-08-01 03:00:00,2026-08-08 03:00:00
EMP-0004,Daniel,Kim,2021-02-15,,Active,POS-1002,DEPT-100,EMP-0002,LOC-01,E4,2026-08-08 09:15:00,2026-08-08 03:00:00
EMP-0005,Aisha,Bello,2021-09-01,,Active,POS-1009,DEPT-100,EMP-0002,LOC-04,E5,2026-08-01 03:00:00,2026-08-08 03:00:00
EMP-0006,James,O'Connor,2018-11-05,,Active,POS-1005,DEPT-200,,LOC-02,M3,2026-08-01 03:00:00,2026-08-08 03:00:00
EMP-0007,Emma,Rossi,2022-04-18,,Active,POS-1008,DEPT-500,EMP-0011,LOC-02,E3,2026-08-08 10:30:00,2026-08-08 03:00:00
EMP-0008,Noah,Fischer,2022-07-11,,Active,POS-1004,DEPT-200,EMP-0006,LOC-03,E3,2026-08-01 03:00:00,2026-08-08 03:00:00
EMP-0009,Grace,Thompson,2019-08-20,,Active,POS-1006,DEPT-300,,LOC-01,E4,2026-08-01 03:00:00,2026-08-08 03:00:00
EMP-0010,Liam,Walsh,2020-10-05,,Active,POS-1007,DEPT-400,,LOC-01,E3,2026-08-01 03:00:00,2026-08-08 03:00:00
EMP-0011,Olivia,Chen,2021-05-17,,Active,POS-1008,DEPT-500,,LOC-04,E3,2026-08-01 03:00:00,2026-08-08 03:00:00
EMP-0012,Ethan,Brooks,2017-01-09,2026-05-30,Terminated,POS-1001,DEPT-100,EMP-0002,LOC-01,E3,2026-05-30 12:00:00,2026-08-08 03:00:00
